面积,价格
87.16㎡,440
87.93㎡,615
86.75㎡,365
92.13㎡,650
80.13㎡,360
79.35㎡,530
74.05㎡,390
84㎡,350
82.02㎡,340
96.24㎡,538
107.93㎡,718
94.61㎡,565
76.8㎡,490
105.61㎡,548
87.85㎡,630
103.73㎡,410
79.86㎡,415
80.45㎡,365
96㎡,420
89.22㎡,560
75.8㎡,313
82.15㎡,320
89.7㎡,638
93.5㎡,469
88.83㎡,470
73.67㎡,410
74.21㎡,305
79㎡,323
100.42㎡,535
103㎡,409
94.5㎡,430
93.15㎡,530
95.51㎡,369
73.35㎡,370
108.61㎡,520
90.82㎡,360
97.76㎡,480
95.24㎡,450
88.24㎡,408
99.86㎡,480
90.26㎡,340
93.44㎡,550
101.95㎡,660
93.79㎡,580
75.46㎡,398
81.89㎡,440
85㎡,570
70.81㎡,388
96.55㎡,450
78.72㎡,300
86.87㎡,390
104.2㎡,760
85.83㎡,510
86.58㎡,345
89.8㎡,628
74.66㎡,345
78.61㎡,486
76.15㎡,470
90.47㎡,456
87.92㎡,352
74.14㎡,312
89㎡,606
89.28㎡,399
92.69㎡,300
72.93㎡,355
88.9㎡,560
107.89㎡,448
85.88㎡,300
76.56㎡,385
103.41㎡,480
78.3㎡,300
89.83㎡,614
89.42㎡,420
88.9㎡,398
88.79㎡,420
107.9㎡,425
97.44㎡,443
107.06㎡,700
71.86㎡,379
78.46㎡,310
91.84㎡,545
80.16㎡,350
84.37㎡,370
95.11㎡,480
103.74㎡,348
73.03㎡,321
94.04㎡,535
86.41㎡,665
87.84㎡,448
81.54㎡,322
74.14㎡,310
87.3㎡,366.6
83.75㎡,418
86.37㎡,335
86.38㎡,650
94.31㎡,305
97.7㎡,645
102㎡,652
96.79㎡,465
97㎡,620
109.19㎡,440
72.25㎡,325
108.38㎡,465
77.78㎡,308
73.12㎡,350
92.92㎡,430
77.35㎡,415
89.76㎡,750
81.95㎡,305
93.51㎡,688
79.98㎡,500
88.82㎡,415
96.31㎡,485
87.16㎡,428
83.82㎡,445
77.48㎡,360
77.25㎡,320
82.06㎡,460
78㎡,360
94.65㎡,575
90.62㎡,400
98㎡,760
72.7㎡,340
101.67㎡,418
92.06㎡,560
86.06㎡,355
92.72㎡,405
93.09㎡,735
70.89㎡,360
108㎡,450
85.09㎡,360
79.84㎡,320
83.44㎡,363
87.42㎡,360
85.56㎡,450
90.15㎡,530
91.41㎡,750
103㎡,440
94㎡,495
97.91㎡,428
77.1㎡,340
88.73㎡,440
109.26㎡,425
81.64㎡,368
87㎡,390
108.24㎡,530
88.18㎡,540
97.7㎡,700
88.24㎡,300
99.71㎡,618
78.3㎡,330
93.53㎡,535
108.83㎡,600
79.78㎡,485
100.02㎡,405
90.07㎡,510
89.94㎡,320
73.92㎡,395
71.13㎡,410
83.21㎡,770
77.59㎡,350
87.63㎡,365
98.23㎡,688
77.56㎡,330
93.35㎡,520
88.29㎡,368
89.9㎡,630
80.9㎡,630
74㎡,345
101.54㎡,780
87.84㎡,480
92.49㎡,415
78.3㎡,480
85.15㎡,350
104.88㎡,595
90.16㎡,475
100.79㎡,465
85.65㎡,345
88.55㎡,310
76.33㎡,375
86.6㎡,345
99.17㎡,319
87.44㎡,370
81.64㎡,368
94.73㎡,650
87.5㎡,420
77.3㎡,375
84.36㎡,550
96.25㎡,413
83.97㎡,405
86.05㎡,380
89.29㎡,315
78.51㎡,300
109.37㎡,390
108㎡,594
99.27㎡,580
99.92㎡,635
106.35㎡,660
98.77㎡,490
85.61㎡,480
96.25㎡,585
74.33㎡,395
78.31㎡,320
70.66㎡,415
95.51㎡,395
97.73㎡,317
96.54㎡,490
81.57㎡,385
77㎡,400
83.21㎡,525
93.65㎡,330
104.25㎡,460
83.17㎡,508
87.84㎡,379
88.52㎡,325
94.2㎡,420
89.32㎡,550
88.58㎡,340
93.19㎡,438
76.6㎡,375
99.07㎡,399
86.03㎡,360
99.81㎡,695
89㎡,480
96.43㎡,500
89.68㎡,420
81.46㎡,375
107㎡,410
85.24㎡,375
91.62㎡,320
95.14㎡,430
77.09㎡,330
79.25㎡,350
107.07㎡,770
102.65㎡,300
104.43㎡,400
95.52㎡,525
73.46㎡,330
89㎡,300
88.92㎡,470
99.59㎡,315
96㎡,430
93.47㎡,580
92.72㎡,660
74.21㎡,332
80.45㎡,345
83.38㎡,395
82.48㎡,412
106.47㎡,700
104.44㎡,435
94.22㎡,520
94.22㎡,530
87.81㎡,460
95.23㎡,400
89.04㎡,385
74.38㎡,385
89.63㎡,480
85㎡,320
99.16㎡,460
94.6㎡,540
99.02㎡,658
100.05㎡,678
73.06㎡,645
100.75㎡,395
84.49㎡,375
103.22㎡,430
96.85㎡,400
93.48㎡,350
77.37㎡,308
109.01㎡,450
90.2㎡,480
96.6㎡,310
96.29㎡,475
81.48㎡,390
74.04㎡,425
101.67㎡,445
88.4㎡,395
90.5㎡,450
90.72㎡,460
84.88㎡,445
92.61㎡,500
81.28㎡,385
81.08㎡,385
86.13㎡,516
88.27㎡,475
73.19㎡,390
91.2㎡,345
75.81㎡,395
89.13㎡,310
84.34㎡,375
108.84㎡,408
90㎡,450
108.55㎡,620
97.69㎡,440
99.89㎡,430
88㎡,395
93㎡,415
89.99㎡,480
94.51㎡,360
89.51㎡,337
76.54㎡,435
107.04㎡,445
109.46㎡,650
86.09㎡,415
100.29㎡,335
99.24㎡,450
74㎡,359
89.52㎡,340
82.84㎡,300
96.21㎡,538
96.7㎡,335
83㎡,410
78.26㎡,335
